Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
4462,4462,-0.3283489325,130.6845651,2004-01-01,h31v09,78.0,163.0,32766.0,254.0,0b11111110,0b0,Continuous
4463,4463,-0.3332681823,131.072325902,2001-01-01,h31v09,79.0,256.0,32766.0,254.0,0b11111110,0b0,Continuous
4463,4463,-0.3332681823,131.072325902,2002-01-01,h31v09,79.0,256.0,32766.0,254.0,0b11111110,0b0,Continuous
4463,4463,-0.3332681823,131.072325902,2003-01-01,h31v09,79.0,256.0,32766.0,254.0,0b11111110,0b0,Continuous
4463,4463,-0.3332681823,131.072325902,2004-01-01,h31v09,79.0,256.0,32766.0,254.0,0b11111110,0b0,Continuous
4465,4465,-0.3283640572,130.19832447,2001-01-01,h31v09,78.0,47.0,0.0,50.0,0b00110010,0b0,Continuous
4465,4465,-0.3283640572,130.19832447,2002-01-01,h31v09,78.0,47.0,0.1961,27.0,0b00011011,0b0,Continuous
4465,4465,-0.3283640572,130.19832447,2003-01-01,h31v09,78.0,47.0,0.0,46.0,0b00101110,0b0,Continuous
4465,4465,-0.3283640572,130.19832447,2004-01-01,h31v09,78.0,47.0,0.0,39.0,0b00100111,0b0,Continuous
4468,4468,-0.3281495416,130.687824121,2001-01-01,h31v09,78.0,164.0,32766.0,254.0,0b11111110,0b0,Continuous
4468,4468,-0.3281495416,130.687824121,2002-01-01,h31v09,78.0,164.0,32766.0,254.0,0b11111110,0b0,Continuous
4468,4468,-0.3281495416,130.687824121,2003-01-01,h31v09,78.0,164.0,32766.0,254.0,0b11111110,0b0,Continuous
4468,4468,-0.3281495416,130.687824121,2004-01-01,h31v09,78.0,164.0,32766.0,254.0,0b11111110,0b0,Continuous
4470,4470,-0.326120866,130.642762815,2001-01-01,h31v09,78.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4470,4470,-0.326120866,130.642762815,2002-01-01,h31v09,78.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4470,4470,-0.326120866,130.642762815,2003-01-01,h31v09,78.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4470,4470,-0.326120866,130.642762815,2004-01-01,h31v09,78.0,153.0,32766.0,254.0,0b11111110,0b0,Continuous
4471,4471,-0.3266855948,131.092056253,2001-01-01,h31v09,78.0,261.0,32766.0,254.0,0b11111110,0b0,Continuous
4471,4471,-0.3266855948,131.092056253,2002-01-01,h31v09,78.0,261.0,32766.0,254.0,0b11111110,0b0,Continuous
4471,4471,-0.3266855948,131.092056253,2003-01-01,h31v09,78.0,261.0,32766.0,254.0,0b11111110,0b0,Continuous
4471,4471,-0.3266855948,131.092056253,2004-01-01,h31v09,78.0,261.0,32766.0,254.0,0b11111110,0b0,Continuous
4472,4472,-0.3266832807,131.095405579,2001-01-01,h31v09,78.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
4472,4472,-0.3266832807,131.095405579,2002-01-01,h31v09,78.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
