Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A3HGF_061_Line_Y_500m,MYD17A3HGF_061_Sample_X_500m,MYD17A3HGF_061_Npp_500m,MYD17A3HGF_061_Npp_QC_500m,MYD17A3HGF_061_Npp_QC_500m_bitmask,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MYD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
15821,15821,-8.2280249736,157.09983089,2002-07-04,h33v09,1974.0,1315.0,0.0835,79.0,0b01001111,0b0,Continuous
15821,15821,-8.2280249736,157.09983089,2003-01-01,h33v09,1974.0,1315.0,0.0,59.0,0b00111011,0b0,Continuous
15821,15821,-8.2280249736,157.09983089,2004-01-01,h33v09,1974.0,1315.0,0.0523,61.0,0b00111101,0b0,Continuous
15822,15822,-8.2316406053,159.286060844,2002-07-04,h33v09,1975.0,1834.0,32766.0,254.0,0b11111110,0b0,Continuous
15822,15822,-8.2316406053,159.286060844,2003-01-01,h33v09,1975.0,1834.0,32766.0,254.0,0b11111110,0b0,Continuous
15822,15822,-8.2316406053,159.286060844,2004-01-01,h33v09,1975.0,1834.0,32766.0,254.0,0b11111110,0b0,Continuous
15823,15823,-8.2287920575,157.104152161,2002-07-04,h33v09,1974.0,1316.0,32766.0,254.0,0b11111110,0b0,Continuous
15823,15823,-8.2287920575,157.104152161,2003-01-01,h33v09,1974.0,1316.0,32766.0,254.0,0b11111110,0b0,Continuous
15823,15823,-8.2287920575,157.104152161,2004-01-01,h33v09,1974.0,1316.0,32766.0,254.0,0b11111110,0b0,Continuous
15824,15824,-8.2274279029,160.17049734,2002-07-04,h33v09,1974.0,2045.0,32766.0,254.0,0b11111110,0b0,Continuous
15824,15824,-8.2274279029,160.17049734,2003-01-01,h33v09,1974.0,2045.0,32766.0,254.0,0b11111110,0b0,Continuous
15824,15824,-8.2274279029,160.17049734,2004-01-01,h33v09,1974.0,2045.0,32766.0,254.0,0b11111110,0b0,Continuous
15825,15825,-8.2248760849,157.109859112,2002-07-04,h33v09,1973.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15825,15825,-8.2248760849,157.109859112,2003-01-01,h33v09,1973.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15825,15825,-8.2248760849,157.109859112,2004-01-01,h33v09,1973.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15826,15826,-8.2522888154,157.800317696,2002-07-04,h33v09,1980.0,1479.0,32766.0,254.0,0b11111110,0b0,Continuous
15826,15826,-8.2522888154,157.800317696,2003-01-01,h33v09,1980.0,1479.0,32766.0,254.0,0b11111110,0b0,Continuous
15826,15826,-8.2522888154,157.800317696,2004-01-01,h33v09,1980.0,1479.0,32766.0,254.0,0b11111110,0b0,Continuous
15827,15827,-8.2203431069,157.107304841,2002-07-04,h33v09,1972.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15827,15827,-8.2203431069,157.107304841,2003-01-01,h33v09,1972.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15827,15827,-8.2203431069,157.107304841,2004-01-01,h33v09,1972.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15828,15828,-8.2188913979,157.754932534,2002-07-04,h33v09,1972.0,1472.0,32766.0,254.0,0b11111110,0b0,Continuous
15828,15828,-8.2188913979,157.754932534,2003-01-01,h33v09,1972.0,1472.0,32766.0,254.0,0b11111110,0b0,Continuous
15828,15828,-8.2188913979,157.754932534,2004-01-01,h33v09,1972.0,1472.0,32766.0,254.0,0b11111110,0b0,Continuous
15829,15829,-8.219192588,160.164978276,2002-07-04,h33v09,1972.0,2044.0,32766.0,254.0,0b11111110,0b0,Continuous
15829,15829,-8.219192588,160.164978276,2003-01-01,h33v09,1972.0,2044.0,32766.0,254.0,0b11111110,0b0,Continuous
15829,15829,-8.219192588,160.164978276,2004-01-01,h33v09,1972.0,2044.0,32766.0,254.0,0b11111110,0b0,Continuous
15830,15830,-8.2281427454,157.119872099,2002-07-04,h33v09,1974.0,1320.0,0.8436,83.0,0b01010011,0b0,Continuous
15830,15830,-8.2281427454,157.119872099,2003-01-01,h33v09,1974.0,1320.0,0.9319,68.0,0b01000100,0b0,Continuous
15830,15830,-8.2281427454,157.119872099,2004-01-01,h33v09,1974.0,1320.0,0.8074,62.0,0b00111110,0b0,Continuous
15831,15831,-8.2116728169,157.66502096,2002-07-04,h33v09,1970.0,1451.0,32766.0,254.0,0b11111110,0b0,Continuous
15831,15831,-8.2116728169,157.66502096,2003-01-01,h33v09,1970.0,1451.0,32766.0,254.0,0b11111110,0b0,Continuous
15831,15831,-8.2116728169,157.66502096,2004-01-01,h33v09,1970.0,1451.0,32766.0,254.0,0b11111110,0b0,Continuous
15832,15832,-8.2124525734,157.106447477,2002-07-04,h33v09,1970.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15832,15832,-8.2124525734,157.106447477,2003-01-01,h33v09,1970.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15832,15832,-8.2124525734,157.106447477,2004-01-01,h33v09,1970.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15833,15833,-8.2114990108,159.258285437,2002-07-04,h33v09,1970.0,1830.0,0.6352,85.0,0b01010101,0b0,Continuous
15833,15833,-8.2114990108,159.258285437,2003-01-01,h33v09,1970.0,1830.0,0.9789,46.0,0b00101110,0b0,Continuous
15833,15833,-8.2114990108,159.258285437,2004-01-01,h33v09,1970.0,1830.0,0.6898,72.0,0b01001000,0b0,Continuous
15834,15834,-8.2055804326,157.718873203,2002-07-04,h33v09,1969.0,1465.0,32766.0,254.0,0b11111110,0b0,Continuous
15834,15834,-8.2055804326,157.718873203,2003-01-01,h33v09,1969.0,1465.0,32766.0,254.0,0b11111110,0b0,Continuous
15834,15834,-8.2055804326,157.718873203,2004-01-01,h33v09,1969.0,1465.0,32766.0,254.0,0b11111110,0b0,Continuous
15835,15835,-8.2096065262,157.739223214,2002-07-04,h33v09,1970.0,1469.0,0.2795,84.0,0b01010100,0b0,Continuous
15835,15835,-8.2096065262,157.739223214,2003-01-01,h33v09,1970.0,1469.0,0.3673,44.0,0b00101100,0b0,Continuous
15835,15835,-8.2096065262,157.739223214,2004-01-01,h33v09,1970.0,1469.0,0.2373,60.0,0b00111100,0b0,Continuous
15836,15836,-8.2023353783,157.099909444,2002-07-04,h33v09,1968.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15836,15836,-8.2023353783,157.099909444,2003-01-01,h33v09,1968.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15836,15836,-8.2023353783,157.099909444,2004-01-01,h33v09,1968.0,1318.0,32766.0,254.0,0b11111110,0b0,Continuous
15837,15837,-8.2021970776,157.695298553,2002-07-04,h33v09,1968.0,1459.0,0.0,81.0,0b01010001,0b0,Continuous
15837,15837,-8.2021970776,157.695298553,2003-01-01,h33v09,1968.0,1459.0,0.0,50.0,0b00110010,0b0,Continuous
15837,15837,-8.2021970776,157.695298553,2004-01-01,h33v09,1968.0,1459.0,0.0,68.0,0b01000100,0b0,Continuous
15838,15838,-8.1945914846,157.088384126,2002-07-04,h33v09,1966.0,1316.0,0.5116,76.0,0b01001100,0b0,Continuous
15838,15838,-8.1945914846,157.088384126,2003-01-01,h33v09,1966.0,1316.0,0.4991,52.0,0b00110100,0b0,Continuous
15838,15838,-8.1945914846,157.088384126,2004-01-01,h33v09,1966.0,1316.0,0.3597,57.0,0b00111001,0b0,Continuous
15839,15839,-8.195057813,157.185688462,2002-07-04,h33v09,1966.0,1339.0,0.4146,76.0,0b01001100,0b0,Continuous
15839,15839,-8.195057813,157.185688462,2003-01-01,h33v09,1966.0,1339.0,0.4528,70.0,0b01000110,0b0,Continuous
15839,15839,-8.195057813,157.185688462,2004-01-01,h33v09,1966.0,1339.0,0.2675,73.0,0b01001001,0b0,Continuous
15840,15840,-8.1911209464,157.666922663,2002-07-04,h33v09,1965.0,1454.0,32766.0,254.0,0b11111110,0b0,Continuous
15840,15840,-8.1911209464,157.666922663,2003-01-01,h33v09,1965.0,1454.0,32766.0,254.0,0b11111110,0b0,Continuous
15840,15840,-8.1911209464,157.666922663,2004-01-01,h33v09,1965.0,1454.0,32766.0,254.0,0b11111110,0b0,Continuous
15841,15841,-8.2412055272,157.073859977,2002-07-04,h33v09,1977.0,1308.0,0.929,90.0,0b01011010,0b0,Continuous
15841,15841,-8.2412055272,157.073859977,2003-01-01,h33v09,1977.0,1308.0,0.966,65.0,0b01000001,0b0,Continuous
15841,15841,-8.2412055272,157.073859977,2004-01-01,h33v09,1977.0,1308.0,0.7297,72.0,0b01001000,0b0,Continuous
15842,15842,-8.1900931756,157.710018804,2002-07-04,h33v09,1965.0,1464.0,0.1785,84.0,0b01010100,0b0,Continuous
15842,15842,-8.1900931756,157.710018804,2003-01-01,h33v09,1965.0,1464.0,0.0,72.0,0b01001000,0b0,Continuous
15842,15842,-8.1900931756,157.710018804,2004-01-01,h33v09,1965.0,1464.0,0.0565,64.0,0b01000000,0b0,Continuous
15843,15843,-8.1904416026,157.681321573,2002-07-04,h33v09,1965.0,1457.0,0.1187,79.0,0b01001111,0b0,Continuous
15843,15843,-8.1904416026,157.681321573,2003-01-01,h33v09,1965.0,1457.0,0.1449,65.0,0b01000001,0b0,Continuous
15843,15843,-8.1904416026,157.681321573,2004-01-01,h33v09,1965.0,1457.0,0.0859,73.0,0b01001001,0b0,Continuous
15844,15844,-8.1833554184,159.179976597,2002-07-04,h33v09,1964.0,1814.0,32766.0,254.0,0b11111110,0b0,Continuous
15844,15844,-8.1833554184,159.179976597,2003-01-01,h33v09,1964.0,1814.0,32766.0,254.0,0b11111110,0b0,Continuous
15844,15844,-8.1833554184,159.179976597,2004-01-01,h33v09,1964.0,1814.0,32766.0,254.0,0b11111110,0b0,Continuous
15845,15845,-8.1791948244,157.180838032,2002-07-04,h33v09,1963.0,1339.0,32766.0,254.0,0b11111110,0b0,Continuous
15845,15845,-8.1791948244,157.180838032,2003-01-01,h33v09,1963.0,1339.0,32766.0,254.0,0b11111110,0b0,Continuous
