society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ic4,Rotinese,xd766,term1237,Termanu,Austronesian,NetPrimaryProductionPredictability,0.479706713,,,,
Ij9,Easter Islanders,xd898,rapa1244,Rapanui,Austronesian,NetPrimaryProductionPredictability,0.479336963,,,,
If2,Trukese,xd833,chuu1238,Chuukese,Austronesian,NetPrimaryProductionPredictability,0.477872279,,,,
SCCS109,Trukese,xd833,chuu1238,Chuukese,Austronesian,NetPrimaryProductionPredictability,0.477872279,,,,
Ij1,Mangaians,xd889,raro1241,Southern Cook Island Maori,Austronesian,NetPrimaryProductionPredictability,0.47766994,,,,
SCCS81,Tanala,xd689,tana1285,Tanala,Austronesian,NetPrimaryProductionPredictability,0.477056173,,,,
Ii12,Tongans,xd878,tong1325,Tonga (Tonga Islands),Austronesian,NetPrimaryProductionPredictability,0.472564274,,,,
Ei8,Khasi,xd714,khas1269,Khasi,Austroasiatic,NetPrimaryProductionPredictability,0.467709374,,,,
Ij8,Tahitians,xd897,tahi1242,Tahitian,Austronesian,NetPrimaryProductionPredictability,0.467623283,,,,
SCCS75,Ancient Khmer,xd722,oldk1249,Old Khmer,Austroasiatic,NetPrimaryProductionPredictability,0.465802932,,,,
B14,Agta (Cagayan),xd908,cent2084,Central Cagayan Agta,Austronesian,NetPrimaryProductionPredictability,0.465189165,,,,
Ef4,Ho,xd666,hooo1248,Ho,Austroasiatic,NetPrimaryProductionPredictability,0.462679378,,,,
Eg8,Kol,xd684,mund1320,Mundari,Austroasiatic,NetPrimaryProductionPredictability,0.462679378,,,,
Ii10,Rennell Islanders,xd877,renn1242,Rennell-Bellona,Austronesian,NetPrimaryProductionPredictability,0.458461066,,,,
Ia17,Bilaan,xd740,koro1310,Koronadal Blaan,Austronesian,NetPrimaryProductionPredictability,0.45737597,,,,
Ii8,Futunans,xd887,east2447,East Futuna,Austronesian,NetPrimaryProductionPredictability,0.457272882,,,,
