society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ae13,Bashi,xd131,shii1238,Shi,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.865804638,,,,
Ae7,Baboa,xd183,bwaa1238,Bwa,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.866214265,,,,
B20,Cholanaikkan,xd913,jenn1240,Jennu Kurumba,Dravidian,MonthlyMeanNetPrimaryProduction,2.866944876,,,,
Eh9,Antaisaka,xd695,tesa1236,Tesaka Malagasy,Austronesian,MonthlyMeanNetPrimaryProduction,2.868538476,,,,
If1,Palauans,xd824,pala1344,Palauan,Austronesian,MonthlyMeanNetPrimaryProduction,2.870532773,,,,
SCCS111,Palauans,xd824,pala1344,Palauan,Austronesian,MonthlyMeanNetPrimaryProduction,2.870532773,,,,
B180,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,MonthlyMeanNetPrimaryProduction,2.875697875,,,,
Nb4,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanNetPrimaryProduction,2.875697875,,,,
WNAI39,Wiyot,xd1097,wiyo1248,Wiyot,Algic,MonthlyMeanNetPrimaryProduction,2.875697875,,,,
Ig21,Tangu,xd854,tang1355,Tanggu,Lower Sepik-Ramu,MonthlyMeanNetPrimaryProduction,2.876080781,,,,
SCCS20,Mende,xd230,mend1266,Mende (Sierra Leone),Mande,MonthlyMeanNetPrimaryProduction,2.884739377,,,,
B274,Lower Chinook,xd1078,chin1286,Chinook,Chinookan,MonthlyMeanNetPrimaryProduction,2.89107584,,,,
WNAI27,Lower Chinook,xd1078,chin1286,Chinook,Chinookan,MonthlyMeanNetPrimaryProduction,2.89107584,,,,
Sa3,Ch'orti',xd1319,chor1273,Chortí,Mayan,MonthlyMeanNetPrimaryProduction,2.891427866,,,,
Ei10,Chakma,xd697,chak1266,Chakma,Indo-European,MonthlyMeanNetPrimaryProduction,2.894911067,,,,
Ei20,Kuki,xd708,lush1249,Mizo,Sino-Tibetan,MonthlyMeanNetPrimaryProduction,2.894911067,,,,
Ie38,Dani,xd816,midg1235,Mid Grand Valley Dani,Nuclear Trans New Guinea,MonthlyMeanNetPrimaryProduction,2.896269763,,,,
